id,title,authors,venue,year,text
4777,a cognitive approach to introductory computer science courses,"m doran , d langan",proceedings of acm,,"COL title VAL a cognitive approach to introductory computer science courses COL authors VAL m doran , d langan COL venue VAL proceedings of acm COL year VAL "
4778,the biology of calanoid copepods : academic press,j mauchline,"san diego , ca ,",,"COL title VAL the biology of calanoid copepods : academic press COL authors VAL j mauchline COL venue VAL san diego , ca , COL year VAL "
4779,the soul of remedies,r sankaran,,1997.0,COL title VAL the soul of remedies COL authors VAL r sankaran COL venue VAL  COL year VAL 1997.0
4780,casdal : cas sm 's da ta l anguage,"syw su , a emam","acm transactions on database systems ( tods ) ,",1978.0,"COL title VAL casdal : cas sm 's da ta l anguage COL authors VAL syw su , a emam COL venue VAL acm transactions on database systems ( tods ) , COL year VAL 1978.0"
4781,query by image and video content : theqbicsystem,"m flickner , h sawhney , w niblack , j ashley , q","ieee computer ,",,"COL title VAL query by image and video content : theqbicsystem COL authors VAL m flickner , h sawhney , w niblack , j ashley , q COL venue VAL ieee computer , COL year VAL "
4782,object serialisation and deserialisation using xml,"n bhatti , jml goff , w hassan , z kovacs , p martin ,",10th international conference on management of data ( comad,,"COL title VAL object serialisation and deserialisation using xml COL authors VAL n bhatti , jml goff , w hassan , z kovacs , p martin , COL venue VAL 10th international conference on management of data ( comad COL year VAL "
4783,high availability in very large workflow management systems,"m kamath , g alonso , r gunthor , c mohan","research report , ibm almaden research center , february ,",,"COL title VAL high availability in very large workflow management systems COL authors VAL m kamath , g alonso , r gunthor , c mohan COL venue VAL research report , ibm almaden research center , february , COL year VAL "
4784,terrain mapping of radar satellite images,"rd paget , d longsta","electronic imaging ,",,"COL title VAL terrain mapping of radar satellite images COL authors VAL rd paget , d longsta COL venue VAL electronic imaging , COL year VAL "
4785,ranking world cities : multinational corporations and the global urban hierarchy,"bj godfrey , y zhou","urban geography ,",1999.0,"COL title VAL ranking world cities : multinational corporations and the global urban hierarchy COL authors VAL bj godfrey , y zhou COL venue VAL urban geography , COL year VAL 1999.0"
4786,lectin histochemistry of the mast cell : a light microscopical study,"cj kirkpatrick , cjp jones , rw stoddart","the histochemical journal ,",1988.0,"COL title VAL lectin histochemistry of the mast cell : a light microscopical study COL authors VAL cj kirkpatrick , cjp jones , rw stoddart COL venue VAL the histochemical journal , COL year VAL 1988.0"
4787,child care and the labor supply of married women : reduced form evidence,dc ribar,"the journal of human resources ,",1992.0,"COL title VAL child care and the labor supply of married women : reduced form evidence COL authors VAL dc ribar COL venue VAL the journal of human resources , COL year VAL 1992.0"
4788,ceftriaxone versus cefazolin with probenecid for severe skin and soft tissue infections,"g brown , r chamberlain , j goulding , a clarke","journal of emergency medicine ,",1996.0,"COL title VAL ceftriaxone versus cefazolin with probenecid for severe skin and soft tissue infections COL authors VAL g brown , r chamberlain , j goulding , a clarke COL venue VAL journal of emergency medicine , COL year VAL 1996.0"
4789,euso collaboration,"s bottai , s giurgola","proc . 28th international cosmic ray conference , tsukuba , & hellip ; ,",,"COL title VAL euso collaboration COL authors VAL s bottai , s giurgola COL venue VAL proc . 28th international cosmic ray conference , tsukuba , & hellip ; , COL year VAL "
4790,a practical multicast monitoring scheme,"j walz , bn levine",,,"COL title VAL a practical multicast monitoring scheme COL authors VAL j walz , bn levine COL venue VAL  COL year VAL "
4791,the impact of database selection on distributed searching,"al powell , jc french , j callan , m connell , cl","proceedings of the 23rd annual international acm sigir & hellip ; ,",2000.0,"COL title VAL the impact of database selection on distributed searching COL authors VAL al powell , jc french , j callan , m connell , cl COL venue VAL proceedings of the 23rd annual international acm sigir & hellip ; , COL year VAL 2000.0"
4792,"virology , pathogenetic mechanisms , and associated diseases of kaposi sarcoma-associated herpesvirus","r sarid , a klepfish , a schattner","mayo clinic proceedings ,",2002.0,"COL title VAL virology , pathogenetic mechanisms , and associated diseases of kaposi sarcoma-associated herpesvirus COL authors VAL r sarid , a klepfish , a schattner COL venue VAL mayo clinic proceedings , COL year VAL 2002.0"
4793,inside track,j dvorak,"pc magazine ,",1993.0,"COL title VAL inside track COL authors VAL j dvorak COL venue VAL pc magazine , COL year VAL 1993.0"
4794,hilbert r-tree : an improved r-tree using fractals,ikc faloutsos,"proceedings international conference on very large data & hellip ; ,",1994.0,"COL title VAL hilbert r-tree : an improved r-tree using fractals COL authors VAL ikc faloutsos COL venue VAL proceedings international conference on very large data & hellip ; , COL year VAL 1994.0"
4795,amputees : skin problems and prostheses,sw levy,"cutis-new york - ,",1995.0,"COL title VAL amputees : skin problems and prostheses COL authors VAL sw levy COL venue VAL cutis-new york - , COL year VAL 1995.0"
4796,duplicate detection in information dissemination,"t yan , h garcia-molina","proceedings of very large databases ( vldbâ ?? 95 ) conference , & hellip ; ,",,"COL title VAL duplicate detection in information dissemination COL authors VAL t yan , h garcia-molina COL venue VAL proceedings of very large databases ( vldbâ ?? 95 ) conference , & hellip ; , COL year VAL "
4797,life in the fast lane,md stone,"pc magazine ,",1993.0,"COL title VAL life in the fast lane COL authors VAL md stone COL venue VAL pc magazine , COL year VAL 1993.0"
4798,improving performance with bulk-inserts in oracle r-trees,"n an , s ravada","vldb ,",2003.0,"COL title VAL improving performance with bulk-inserts in oracle r-trees COL authors VAL n an , s ravada COL venue VAL vldb , COL year VAL 2003.0"
4799,uml activity diagrams as a workflow specification language,"m dumas , ahm hofstede","lecture notes in computer science ,",2001.0,"COL title VAL uml activity diagrams as a workflow specification language COL authors VAL m dumas , ahm hofstede COL venue VAL lecture notes in computer science , COL year VAL 2001.0"
4800,diagnosis of sub-clinical varicocele by means of infrared functional imaging ( proceeding n. 143 ),"a merla , l di donato , a ledda , gl romani","proceedings of the 23rd annual international conference of & hellip ; ,",,"COL title VAL diagnosis of sub-clinical varicocele by means of infrared functional imaging ( proceeding n. 143 ) COL authors VAL a merla , l di donato , a ledda , gl romani COL venue VAL proceedings of the 23rd annual international conference of & hellip ; , COL year VAL "
4801,progestogen for preventing miscarriage,"rm oates-whitehead , dm haas , ja carrier","cochrane database syst rev ,",2003.0,"COL title VAL progestogen for preventing miscarriage COL authors VAL rm oates-whitehead , dm haas , ja carrier COL venue VAL cochrane database syst rev , COL year VAL 2003.0"
4802,performance and interpretation of focused right upper quadrant ultrasound by emergency physicians,"jl kendall , rj shimp","journal of emergency medicine ,",2001.0,"COL title VAL performance and interpretation of focused right upper quadrant ultrasound by emergency physicians COL authors VAL jl kendall , rj shimp COL venue VAL journal of emergency medicine , COL year VAL 2001.0"
4803,toward computer-supported concurrent software engineering,p dewan,,,COL title VAL toward computer-supported concurrent software engineering COL authors VAL p dewan COL venue VAL  COL year VAL 
4804,microwave linear power amplifier with micromodule technology,"g locatelli , l ricco , m nannicini","& hellip ; conference on communicationsâ ?? ( seattle , washington ,",,"COL title VAL microwave linear power amplifier with micromodule technology COL authors VAL g locatelli , l ricco , m nannicini COL venue VAL & hellip ; conference on communicationsâ ?? ( seattle , washington , COL year VAL "
4805,"a gradient from stable to cyclic populations of clethrionomys rufocanus in hokkaido , japan","nc stenseth , on bjornstad , t saitoh","proceedings : biological sciences ,",1996.0,"COL title VAL a gradient from stable to cyclic populations of clethrionomys rufocanus in hokkaido , japan COL authors VAL nc stenseth , on bjornstad , t saitoh COL venue VAL proceedings : biological sciences , COL year VAL 1996.0"
4806,meeting the needs of consumers : lessons from business and industry,"la garrett , cl vogt","new directions for adult and continuing education ,",2003.0,"COL title VAL meeting the needs of consumers : lessons from business and industry COL authors VAL la garrett , cl vogt COL venue VAL new directions for adult and continuing education , COL year VAL 2003.0"
4807,"schwarz p. donâ ?? t scrap it , wrap it ! a wrapper architecture for legacy data sources",m tork roth,vldb [ vld97 ],,"COL title VAL schwarz p. donâ ?? t scrap it , wrap it ! a wrapper architecture for legacy data sources COL authors VAL m tork roth COL venue VAL vldb [ vld97 ] COL year VAL "
4808,m. tokuda computational study of polycrystalline behaviour under complex loading conditions,f havlicek,"proceedings of plasticity ,",,"COL title VAL m. tokuda computational study of polycrystalline behaviour under complex loading conditions COL authors VAL f havlicek COL venue VAL proceedings of plasticity , COL year VAL "
4809,system r : relational approach to database management,"kp eswaran , jn gray , pp griffiths , wf king , ra","acm transactions on database systems ,",1976.0,"COL title VAL system r : relational approach to database management COL authors VAL kp eswaran , jn gray , pp griffiths , wf king , ra COL venue VAL acm transactions on database systems , COL year VAL 1976.0"
4810,xperanto : middleware for publishing object-relational data as xml documents,"mj carey , j kiernan , j shanmugasundaram , ej","vldb ,",2000.0,"COL title VAL xperanto : middleware for publishing object-relational data as xml documents COL authors VAL mj carey , j kiernan , j shanmugasundaram , ej COL venue VAL vldb , COL year VAL 2000.0"
4811,fast decipherment algorithm for rsa public-key cryptosystem,"c couvreur , j quisquater","electronic letters ,",,"COL title VAL fast decipherment algorithm for rsa public-key cryptosystem COL authors VAL c couvreur , j quisquater COL venue VAL electronic letters , COL year VAL "
4812,smarten up !,j maglitta,"computerworld ,",,"COL title VAL smarten up ! COL authors VAL j maglitta COL venue VAL computerworld , COL year VAL "
4813,superimposition : a component adaptation technique,"g wang , lm hallberg , e saphier , ew englander , j","information and software technology ,",1999.0,"COL title VAL superimposition : a component adaptation technique COL authors VAL g wang , lm hallberg , e saphier , ew englander , j COL venue VAL information and software technology , COL year VAL 1999.0"
4814,determination of cr by gfaas with ca and mg as matrix modifier,"b gong , y liu","at . spectrosc ,",,"COL title VAL determination of cr by gfaas with ca and mg as matrix modifier COL authors VAL b gong , y liu COL venue VAL at . spectrosc , COL year VAL "
4815,writing post-soviet estonia on to the world map,"e berg , s oras","political geography ,",2000.0,"COL title VAL writing post-soviet estonia on to the world map COL authors VAL e berg , s oras COL venue VAL political geography , COL year VAL 2000.0"
4816,on property ( ï ? ),"a lubotzky , a zuk",,,"COL title VAL on property ( ï ? ) COL authors VAL a lubotzky , a zuk COL venue VAL  COL year VAL "
4817,elmagarmid ahmed k. . business-to-business interactions : issues and enabling technologies,"m brahim , b boualem , b athman , na hh","the vldb journal ,",,"COL title VAL elmagarmid ahmed k. . business-to-business interactions : issues and enabling technologies COL authors VAL m brahim , b boualem , b athman , na hh COL venue VAL the vldb journal , COL year VAL "
4818,on the derivation of cosmic ray specific yield functions,"wr webber , jj quenby","phil . mag ,",,"COL title VAL on the derivation of cosmic ray specific yield functions COL authors VAL wr webber , jj quenby COL venue VAL phil . mag , COL year VAL "
4819,good teaching : one size fits all ?,dd pratt,"new directions for adult and continuing education ,",2002.0,"COL title VAL good teaching : one size fits all ? COL authors VAL dd pratt COL venue VAL new directions for adult and continuing education , COL year VAL 2002.0"
4820,hydrokinetic solutions and observations,k lord,"phil mag ,",,"COL title VAL hydrokinetic solutions and observations COL authors VAL k lord COL venue VAL phil mag , COL year VAL "
4821,"a. tomasic , â ?? gloss : text-source discovery over the internetâ ??","l gravano , h garcia-molina","acm transactions on database systems ,",,"COL title VAL a. tomasic , â ?? gloss : text-source discovery over the internetâ ?? COL authors VAL l gravano , h garcia-molina COL venue VAL acm transactions on database systems , COL year VAL "
4822,emeritus college : reaching the older learner .,nj hruby,"new directions for higher education ,",1980.0,"COL title VAL emeritus college : reaching the older learner . COL authors VAL nj hruby COL venue VAL new directions for higher education , COL year VAL 1980.0"
4823,mentoring minority graduate students : a west indian narrative,ca stanley,"new directions for teaching and learning ,",1994.0,"COL title VAL mentoring minority graduate students : a west indian narrative COL authors VAL ca stanley COL venue VAL new directions for teaching and learning , COL year VAL 1994.0"
4824,object-oriented geographic information system shell,s roberts,"information and software technology ,",1993.0,"COL title VAL object-oriented geographic information system shell COL authors VAL s roberts COL venue VAL information and software technology , COL year VAL 1993.0"
4825,an end user friendly interface for databases,i kamenyâ ? ¦,"proceedings vldb ,",,"COL title VAL an end user friendly interface for databases COL authors VAL i kamenyâ ? ¦ COL venue VAL proceedings vldb , COL year VAL "
4826,teachersâ ?? classroom interactions in ict-based mathematics lessons in m. van den heuvel,j monaghan,"proceedings of the 25 thinternational conference for the & hellip ; ,",,"COL title VAL teachersâ ?? classroom interactions in ict-based mathematics lessons in m. van den heuvel COL authors VAL j monaghan COL venue VAL proceedings of the 25 thinternational conference for the & hellip ; , COL year VAL "
4827,threshold schemes based on plucker coordinates,"m wang , d feng , g wang",,,"COL title VAL threshold schemes based on plucker coordinates COL authors VAL m wang , d feng , g wang COL venue VAL  COL year VAL "
4828,"electrically augmented liquidliquid extraction in a two-component system , 1 single droplet studies","pj bailes , jd thornton","proc int solv extr conf ,",,"COL title VAL electrically augmented liquidliquid extraction in a two-component system , 1 single droplet studies COL authors VAL pj bailes , jd thornton COL venue VAL proc int solv extr conf , COL year VAL "
4829,optimal processing and optimal relationships in phase direction finders and phase rangefinders,nv sobtsov,"radiotekhnika i elektronika ,",1977.0,"COL title VAL optimal processing and optimal relationships in phase direction finders and phase rangefinders COL authors VAL nv sobtsov COL venue VAL radiotekhnika i elektronika , COL year VAL 1977.0"
4830,a cheat controlled protocol for centralized online multiplayer games,"b di chen , m maheswaran","proceedings of acm sigcomm 2004 workshops on netgames &#39; 04 : & hellip ; ,",2004.0,"COL title VAL a cheat controlled protocol for centralized online multiplayer games COL authors VAL b di chen , m maheswaran COL venue VAL proceedings of acm sigcomm 2004 workshops on netgames &#39; 04 : & hellip ; , COL year VAL 2004.0"
4831,subdirectly irreducible modes,ka kearnes,,,COL title VAL subdirectly irreducible modes COL authors VAL ka kearnes COL venue VAL  COL year VAL 
4832,"seed dispersal , gap colonization , and the case of cecropia insignis",nvl brokaw,"see ref ,",,"COL title VAL seed dispersal , gap colonization , and the case of cecropia insignis COL authors VAL nvl brokaw COL venue VAL see ref , COL year VAL "
4833,development of eggs and the planktonic stages of salmon lice ( lepeophtheirus salmonis ) at low,"k boxaspen , t naess","contributions to zoology ,",2000.0,"COL title VAL development of eggs and the planktonic stages of salmon lice ( lepeophtheirus salmonis ) at low COL authors VAL k boxaspen , t naess COL venue VAL contributions to zoology , COL year VAL 2000.0"
4834,once upon a time past -- history in the elementary classroom .,ls levstik,"social studies and the young learner ,",1989.0,"COL title VAL once upon a time past -- history in the elementary classroom . COL authors VAL ls levstik COL venue VAL social studies and the young learner , COL year VAL 1989.0"
4835,the jobs evaluation : monthly participation rates in three sites and factors affecting participation,g hamilton,,,COL title VAL the jobs evaluation : monthly participation rates in three sites and factors affecting participation COL authors VAL g hamilton COL venue VAL  COL year VAL 
4836,watermaking three-dimensional polygonal models,"r ohbuchi , h masuda , m aono",,,"COL title VAL watermaking three-dimensional polygonal models COL authors VAL r ohbuchi , h masuda , m aono COL venue VAL  COL year VAL "
4837,"ds , and m. tan . semantic data caching and replacement","s dar , mj franklin , bt jonsson",& hellip ; conference on very large data bases,,"COL title VAL ds , and m. tan . semantic data caching and replacement COL authors VAL s dar , mj franklin , bt jonsson COL venue VAL & hellip ; conference on very large data bases COL year VAL "
4838,rat : representation of actions using terminological logics,"j heinsohn , d kudenko , b nebel , hj protlich","& hellip ; on taxonomic reasoning | proceedings , number d-92-08 in dfki & hellip ; ,",,"COL title VAL rat : representation of actions using terminological logics COL authors VAL j heinsohn , d kudenko , b nebel , hj protlich COL venue VAL & hellip ; on taxonomic reasoning | proceedings , number d-92-08 in dfki & hellip ; , COL year VAL "
4839,steroids for treating tuberculous pleurisy,"pt matchaba , j volmink","cochrane database syst . rev ,",2000.0,"COL title VAL steroids for treating tuberculous pleurisy COL authors VAL pt matchaba , j volmink COL venue VAL cochrane database syst . rev , COL year VAL 2000.0"
4840,second order initial boundary-value problems of variational type,d serre,,,COL title VAL second order initial boundary-value problems of variational type COL authors VAL d serre COL venue VAL  COL year VAL 
4841,content-based image retrieval based on a fuzzy approach,"r krishnapuram , s medasani , sh jung , ys choi , r","ieee transactions on knowledge and data engineering ,",2004.0,"COL title VAL content-based image retrieval based on a fuzzy approach COL authors VAL r krishnapuram , s medasani , sh jung , ys choi , r COL venue VAL ieee transactions on knowledge and data engineering , COL year VAL 2004.0"
4842,user groups go high ( er ) tech,b machrone,"pc magazine ,",,"COL title VAL user groups go high ( er ) tech COL authors VAL b machrone COL venue VAL pc magazine , COL year VAL "
4843,diamond in the rough : finding hierarchical heavy hitters in multi-dimensional data,"g cormode , f korn , s muthukrishnan , d srivastava","proc . acm sigmod ,",2004.0,"COL title VAL diamond in the rough : finding hierarchical heavy hitters in multi-dimensional data COL authors VAL g cormode , f korn , s muthukrishnan , d srivastava COL venue VAL proc . acm sigmod , COL year VAL 2004.0"
4844,a new proof of the maximal monotonicity of the sum using the fitzpatrick function,c zalinescu,submitted for,,COL title VAL a new proof of the maximal monotonicity of the sum using the fitzpatrick function COL authors VAL c zalinescu COL venue VAL submitted for COL year VAL 
4845,nearest-neighbor search in medical image databases,"f korn , n sidiropoulos , c faloutsos , e siegel , z","proc . conf . very large data bases ( vldb ) ,",,"COL title VAL nearest-neighbor search in medical image databases COL authors VAL f korn , n sidiropoulos , c faloutsos , e siegel , z COL venue VAL proc . conf . very large data bases ( vldb ) , COL year VAL "
4846,structural factors affecting the location and timing of urban underclass growth,j kasarda,"urban geography ,",,"COL title VAL structural factors affecting the location and timing of urban underclass growth COL authors VAL j kasarda COL venue VAL urban geography , COL year VAL "
4847,a waterborne outbreak of gastroenteritis in adults associated with escherichia coli,"sa schroeder , jr caldwell , tm vernon , pc white , si","lancet i ,",1968.0,"COL title VAL a waterborne outbreak of gastroenteritis in adults associated with escherichia coli COL authors VAL sa schroeder , jr caldwell , tm vernon , pc white , si COL venue VAL lancet i , COL year VAL 1968.0"
4848,recent breaches raise specter of liability risks .,j vijayan,"computerworld ,",,"COL title VAL recent breaches raise specter of liability risks . COL authors VAL j vijayan COL venue VAL computerworld , COL year VAL "
4849,pitch estimation and voicing detection based on a sinusoidal speech model,"rj mcaulay , tf quatieri",,,"COL title VAL pitch estimation and voicing detection based on a sinusoidal speech model COL authors VAL rj mcaulay , tf quatieri COL venue VAL  COL year VAL "
4850,a mixture density based approach to object recognition for image retrieval,"j dahmen , k beulen , m guld , h ney",procs . 6th international riao conference on content-based,,"COL title VAL a mixture density based approach to object recognition for image retrieval COL authors VAL j dahmen , k beulen , m guld , h ney COL venue VAL procs . 6th international riao conference on content-based COL year VAL "
4851,beyond average : toward sophisticated sensing with queries,"jm hellerstein , w hong , s madden , k stanek","lecture notes in computer science ,",2003.0,"COL title VAL beyond average : toward sophisticated sensing with queries COL authors VAL jm hellerstein , w hong , s madden , k stanek COL venue VAL lecture notes in computer science , COL year VAL 2003.0"
4852,beam profile measurements at 40mhz in the ps to sps transfer channel,"g ferioli , jj gras",,,"COL title VAL beam profile measurements at 40mhz in the ps to sps transfer channel COL authors VAL g ferioli , jj gras COL venue VAL  COL year VAL "
4853,hytech : the cornell hybrid technology tool,"ta henzinger , ph ho","lecture notes in computer science ,",1995.0,"COL title VAL hytech : the cornell hybrid technology tool COL authors VAL ta henzinger , ph ho COL venue VAL lecture notes in computer science , COL year VAL 1995.0"
4854,folding kinetics,d thirumalai,"j. phys . i france ,",1995.0,"COL title VAL folding kinetics COL authors VAL d thirumalai COL venue VAL j. phys . i france , COL year VAL 1995.0"
4855,the return on quality investment .,d seymour,"new directions for higher education ,",1994.0,"COL title VAL the return on quality investment . COL authors VAL d seymour COL venue VAL new directions for higher education , COL year VAL 1994.0"
4856,the evolution of parental care patterns : a synthesis and a study of the breeding ecologyof the,tr carlisle,,1981.0,COL title VAL the evolution of parental care patterns : a synthesis and a study of the breeding ecologyof the COL authors VAL tr carlisle COL venue VAL  COL year VAL 1981.0
4857,a tale of twelve cities : metropolitan employment change in dynamic industries in the 1980s .,"j pollard , m storper","economic geography ,",1996.0,"COL title VAL a tale of twelve cities : metropolitan employment change in dynamic industries in the 1980s . COL authors VAL j pollard , m storper COL venue VAL economic geography , COL year VAL 1996.0"
4858,"chem . 2002 , 277 , 5699â ?? 5702 ; m. zhang , w. wang","ay hung , m sheng , j biol","acc . chem . res ,",,"COL title VAL chem . 2002 , 277 , 5699â ?? 5702 ; m. zhang , w. wang COL authors VAL ay hung , m sheng , j biol COL venue VAL acc . chem . res , COL year VAL "
4859,preface : introduction to special sectionâ ?? business models,r alt,"electronic markets ,",2001.0,"COL title VAL preface : introduction to special sectionâ ?? business models COL authors VAL r alt COL venue VAL electronic markets , COL year VAL 2001.0"
4860,a combined storm overflow structure : design procedure,"g oliveto , m fiorentino , g mininni",,,"COL title VAL a combined storm overflow structure : design procedure COL authors VAL g oliveto , m fiorentino , g mininni COL venue VAL  COL year VAL "
4861,systems with hysteresis,"ma krasnoselâ ?? skii , av pokrovskii",,1989.0,"COL title VAL systems with hysteresis COL authors VAL ma krasnoselâ ?? skii , av pokrovskii COL venue VAL  COL year VAL 1989.0"
4862,the influence of self-interested behavior on sociopolitical change : the evolution of the chaco,j kantner,,1999.0,COL title VAL the influence of self-interested behavior on sociopolitical change : the evolution of the chaco COL authors VAL j kantner COL venue VAL  COL year VAL 1999.0
4863,388.6 â ?? 7 ( csm i 25 ),x at,at,,COL title VAL 388.6 â ?? 7 ( csm i 25 ) COL authors VAL x at COL venue VAL at COL year VAL 
4864,"three essays on asymmetric information and financial contracting , ph. d. dissertation",r moore,"university of wisconsin ,",,"COL title VAL three essays on asymmetric information and financial contracting , ph. d. dissertation COL authors VAL r moore COL venue VAL university of wisconsin , COL year VAL "
4865,"xslt 2.0 programmer 's reference wrox , 3rd edition ( august 9 , 2004 )",m kay,,,"COL title VAL xslt 2.0 programmer 's reference wrox , 3rd edition ( august 9 , 2004 ) COL authors VAL m kay COL venue VAL  COL year VAL "
4866,coherent arbitrariness : duration-sensitive pricing of hedonic stimuli around an arbitrary anchor,"d ariely , g loewenstein , d prelec",,,"COL title VAL coherent arbitrariness : duration-sensitive pricing of hedonic stimuli around an arbitrary anchor COL authors VAL d ariely , g loewenstein , d prelec COL venue VAL  COL year VAL "
4867,splus reference manual statistical sciences,"ra becker , jm chambers , ar wilks","inc , seattle , washington ,",,"COL title VAL splus reference manual statistical sciences COL authors VAL ra becker , jm chambers , ar wilks COL venue VAL inc , seattle , washington , COL year VAL "
4868,paulo,p freire,"shor , i ,",,"COL title VAL paulo COL authors VAL p freire COL venue VAL shor , i , COL year VAL "
4869,context interchange mediator prototype,"c brannon , s bressan , ch goh , k fynn , m jakobisiak","sigmod rec ,",1997.0,"COL title VAL context interchange mediator prototype COL authors VAL c brannon , s bressan , ch goh , k fynn , m jakobisiak COL venue VAL sigmod rec , COL year VAL 1997.0"
4870,the hennepin county medical centerâ ?? s womenâ ?? s advocacy programâ ?? sixteen years of service,hc jackson,"journal of emergency nursing ,",1992.0,"COL title VAL the hennepin county medical centerâ ?? s womenâ ?? s advocacy programâ ?? sixteen years of service COL authors VAL hc jackson COL venue VAL journal of emergency nursing , COL year VAL 1992.0"
4871,"web release date : february 24 , 2004",mi page,"acc . chem . res ,",2004.0,"COL title VAL web release date : february 24 , 2004 COL authors VAL mi page COL venue VAL acc . chem . res , COL year VAL 2004.0"
4872,bclasses : a construct and method for modelling co-operative object behaviour,"br marshall , jb kennedy , pj barclay","information and software technology ,",1997.0,"COL title VAL bclasses : a construct and method for modelling co-operative object behaviour COL authors VAL br marshall , jb kennedy , pj barclay COL venue VAL information and software technology , COL year VAL 1997.0"
4873,predicting software reliability,w alan,"ieee computer ,",,"COL title VAL predicting software reliability COL authors VAL w alan COL venue VAL ieee computer , COL year VAL "
4874,e2e umts network simulator for quality of service predictions and network planning optimization,"r rueda , m gasparroni , i rivas , t kirvar",proceedings of xii jornadas telecom i +,,"COL title VAL e2e umts network simulator for quality of service predictions and network planning optimization COL authors VAL r rueda , m gasparroni , i rivas , t kirvar COL venue VAL proceedings of xii jornadas telecom i + COL year VAL "
4875,a new approach to the modal logic of intervals,"a hussain , m marx",,2004.0,"COL title VAL a new approach to the modal logic of intervals COL authors VAL a hussain , m marx COL venue VAL  COL year VAL 2004.0"
4876,the application of the cop888 to a 2-wheel abs system,r duengen,,1989.0,COL title VAL the application of the cop888 to a 2-wheel abs system COL authors VAL r duengen COL venue VAL  COL year VAL 1989.0
4877,innovation potential and performance of medium-sized manufacturing enterprises in slovenia,t kroslin,"proceedings of the 25 thconference podim ,",,"COL title VAL innovation potential and performance of medium-sized manufacturing enterprises in slovenia COL authors VAL t kroslin COL venue VAL proceedings of the 25 thconference podim , COL year VAL "
4878,"university of maryland , code 923 , greenbelt","j morisette , n gsfc",,,"COL title VAL university of maryland , code 923 , greenbelt COL authors VAL j morisette , n gsfc COL venue VAL  COL year VAL "
4879,unfixed tissue for electron immunocytochemistry : a simple preparation method for colloidal gold,jw stirling,"the histochemical journal ,",1992.0,"COL title VAL unfixed tissue for electron immunocytochemistry : a simple preparation method for colloidal gold COL authors VAL jw stirling COL venue VAL the histochemical journal , COL year VAL 1992.0"
4880,"parallel processing and document layout , submitted to",h brown,,1988.0,"COL title VAL parallel processing and document layout , submitted to COL authors VAL h brown COL venue VAL  COL year VAL 1988.0"
4881,influence of reciprocal electromechanical transduction on outer hair cell admittance,"ek weitzel , r tasker , we brownell",,,"COL title VAL influence of reciprocal electromechanical transduction on outer hair cell admittance COL authors VAL ek weitzel , r tasker , we brownell COL venue VAL  COL year VAL "
4882,an agent oriented ontology of social reality,"g boella , l van der torre",,,"COL title VAL an agent oriented ontology of social reality COL authors VAL g boella , l van der torre COL venue VAL  COL year VAL "
4883,strategizing throughout the organization : managing role conflict in strategic renewal,"sw floyd , pj lane","academy of management review ,",2000.0,"COL title VAL strategizing throughout the organization : managing role conflict in strategic renewal COL authors VAL sw floyd , pj lane COL venue VAL academy of management review , COL year VAL 2000.0"
4884,data manager for evolvable real-time command and control systems,"e hughes , r ginis , b thuraisingham , p krupp , j","proceedings of the international conference on very large & hellip ; ,",1997.0,"COL title VAL data manager for evolvable real-time command and control systems COL authors VAL e hughes , r ginis , b thuraisingham , p krupp , j COL venue VAL proceedings of the international conference on very large & hellip ; , COL year VAL 1997.0"
4885,human rights : some perspectives,j minker,"acm sigmod record ,",1987.0,"COL title VAL human rights : some perspectives COL authors VAL j minker COL venue VAL acm sigmod record , COL year VAL 1987.0"
4886,asynchronous transfer mode-an overview,jl adams,"bt technology journal ,",1995.0,"COL title VAL asynchronous transfer mode-an overview COL authors VAL jl adams COL venue VAL bt technology journal , COL year VAL 1995.0"
4887,efficient polygon amalgamation methods for spatial olap and spatial data mining,"x zhou , d truffet , j han",,,"COL title VAL efficient polygon amalgamation methods for spatial olap and spatial data mining COL authors VAL x zhou , d truffet , j han COL venue VAL  COL year VAL "
4888,towards a 4/3 approximation for the asymmetric traveling salesman problem,"r carr , s vempala",,,"COL title VAL towards a 4/3 approximation for the asymmetric traveling salesman problem COL authors VAL r carr , s vempala COL venue VAL  COL year VAL "
4889,out of mind but back in sight : stereotypes on the rebound,"cn macrae , gv bodenhausen , ab milne , j jetten","journal of personality and social psychology ,",1994.0,"COL title VAL out of mind but back in sight : stereotypes on the rebound COL authors VAL cn macrae , gv bodenhausen , ab milne , j jetten COL venue VAL journal of personality and social psychology , COL year VAL 1994.0"
4890,"ts. , lobanov , yu . v. , et al","gn flerov , y oganesyan","at . energ ,",,"COL title VAL ts. , lobanov , yu . v. , et al COL authors VAL gn flerov , y oganesyan COL venue VAL at . energ , COL year VAL "
4891,effortless incremental fmea,c price,"procs annual reliability and maintainability symp ,",,"COL title VAL effortless incremental fmea COL authors VAL c price COL venue VAL procs annual reliability and maintainability symp , COL year VAL "
4892,inside distributed com,"e guy , e henry",,1998.0,"COL title VAL inside distributed com COL authors VAL e guy , e henry COL venue VAL  COL year VAL 1998.0"
4893,on the memory requirements of xpath evaluation over xml streams,"z bar-yossef , m fontoura , v josifovski",,,"COL title VAL on the memory requirements of xpath evaluation over xml streams COL authors VAL z bar-yossef , m fontoura , v josifovski COL venue VAL  COL year VAL "
