id,title,authors,venue,year,text
183,an overview of repository technology,"p bernstein , u dayal",vldb,1994,"COL title VAL an overview of repository technology COL authors VAL p bernstein , u dayal COL venue VAL vldb COL year VAL 1994"
184,advanced xml data processing - guest editor 's introduction,k aberer,sigmod record,2001,COL title VAL advanced xml data processing - guest editor 's introduction COL authors VAL k aberer COL venue VAL sigmod record COL year VAL 2001
185,data compression support in databases,"b iyer , d wilhite",vldb,1994,"COL title VAL data compression support in databases COL authors VAL b iyer , d wilhite COL venue VAL vldb COL year VAL 1994"
186,accessibility of the database literature,r snodgrass,sigmod record,2001,COL title VAL accessibility of the database literature COL authors VAL r snodgrass COL venue VAL sigmod record COL year VAL 2001
187,treasurer 's message,,,2001,COL title VAL treasurer 's message COL authors VAL  COL venue VAL  COL year VAL 2001
188,an empirical performance study of the ingres search accelerator for a large property management database system,"s anand , d bell , j hughes",vldb,1994,"COL title VAL an empirical performance study of the ingres search accelerator for a large property management database system COL authors VAL s anand , d bell , j hughes COL venue VAL vldb COL year VAL 1994"
189,chair 's message,,,2001,COL title VAL chair 's message COL authors VAL  COL venue VAL  COL year VAL 2001
190,data integration in the large : the challenge of reuse,"a rosenthal , l seligman",vldb,1994,"COL title VAL data integration in the large : the challenge of reuse COL authors VAL a rosenthal , l seligman COL venue VAL vldb COL year VAL 1994"
191,career-enhancing services at sigmod online,"a labrinidis , a mendelzon",sigmod record,2001,"COL title VAL career-enhancing services at sigmod online COL authors VAL a labrinidis , a mendelzon COL venue VAL sigmod record COL year VAL 2001"
192,experiments on access to digital libraries : how can images and text be used together,m lesk,vldb,1994,COL title VAL experiments on access to digital libraries : how can images and text be used together COL authors VAL m lesk COL venue VAL vldb COL year VAL 1994
193,pc database systems - present and future,p bernstein,vldb,1994,COL title VAL pc database systems - present and future COL authors VAL p bernstein COL venue VAL vldb COL year VAL 1994
194,editor 's notes,l liu,sigmod record,2001,COL title VAL editor 's notes COL authors VAL l liu COL venue VAL sigmod record COL year VAL 2001
195,data mining-based intrusion detectors : an overview of the columbia ids project,"s stolfo , w lee , p chan , w fan , e eskin",sigmod record,2001,"COL title VAL data mining-based intrusion detectors : an overview of the columbia ids project COL authors VAL s stolfo , w lee , p chan , w fan , e eskin COL venue VAL sigmod record COL year VAL 2001"
196,distributed top-k monitoring,"b babcock , c olston",sigmod conference,2003,"COL title VAL distributed top-k monitoring COL authors VAL b babcock , c olston COL venue VAL sigmod conference COL year VAL 2003"
197,approximate join processing over data streams,"a das , j gehrke , m riedewald",sigmod conference,2003,"COL title VAL approximate join processing over data streams COL authors VAL a das , j gehrke , m riedewald COL venue VAL sigmod conference COL year VAL 2003"
198,adam : a testbed for exploring the use of data mining in intrusion detection,"d barbarс , j couto , s jajodia , n wu",sigmod record,2001,"COL title VAL adam : a testbed for exploring the use of data mining in intrusion detection COL authors VAL d barbarс , j couto , s jajodia , n wu COL venue VAL sigmod record COL year VAL 2001"
199,detection and classification of intrusions and faults using sequences of system calls,"j cabrera , l lewis , r mehra",sigmod record,2001,"COL title VAL detection and classification of intrusions and faults using sequences of system calls COL authors VAL j cabrera , l lewis , r mehra COL venue VAL sigmod record COL year VAL 2001"
200,containment join size estimation : models and methods,"w wang , h jiang , h lu , j yu",sigmod conference,2003,"COL title VAL containment join size estimation : models and methods COL authors VAL w wang , h jiang , h lu , j yu COL venue VAL sigmod conference COL year VAL 2003"
201,relating distributed objects,"b martin , r cattell",vldb,1994,"COL title VAL relating distributed objects COL authors VAL b martin , r cattell COL venue VAL vldb COL year VAL 1994"
202,book review column,k aberer,sigmod record,2001,COL title VAL book review column COL authors VAL k aberer COL venue VAL sigmod record COL year VAL 2001
203,integrating a structured-text retrieval system with an object-oriented database system,"t yan , j annevelink",vldb,1994,"COL title VAL integrating a structured-text retrieval system with an object-oriented database system COL authors VAL t yan , j annevelink COL venue VAL vldb COL year VAL 1994"
204,describing semistructured data,l cardelli,sigmod record,2001,COL title VAL describing semistructured data COL authors VAL l cardelli COL venue VAL sigmod record COL year VAL 2001
205,chair 's message,,,2001,COL title VAL chair 's message COL authors VAL  COL venue VAL  COL year VAL 2001
206,user interfaces ; who cares ?,s spaccapietra,vldb,1994,COL title VAL user interfaces ; who cares ? COL authors VAL s spaccapietra COL venue VAL vldb COL year VAL 1994
207,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,,,2001,COL title VAL special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction COL authors VAL  COL venue VAL  COL year VAL 2001
208,scientific databases - state of the art and future directions,"m zemankova , y ioannidis",vldb,1994,"COL title VAL scientific databases - state of the art and future directions COL authors VAL m zemankova , y ioannidis COL venue VAL vldb COL year VAL 1994"
209,mining system audit data : opportunities and challenges,"w lee , w fan",sigmod record,2001,"COL title VAL mining system audit data : opportunities and challenges COL authors VAL w lee , w fan COL venue VAL sigmod record COL year VAL 2001"
210,efficient similarity search and classification via rank aggregation,"r fagin , r kumar , d sivakumar",sigmod conference,2003,"COL title VAL efficient similarity search and classification via rank aggregation COL authors VAL r fagin , r kumar , d sivakumar COL venue VAL sigmod conference COL year VAL 2003"
211,using unknowns to prevent discovery of association rules,"y saygin , v verykios , c clifton",sigmod record,2001,"COL title VAL using unknowns to prevent discovery of association rules COL authors VAL y saygin , v verykios , c clifton COL venue VAL sigmod record COL year VAL 2001"
212,extracting structured data from web pages,"a arasu , h garcia-molina",sigmod conference,2003,"COL title VAL extracting structured data from web pages COL authors VAL a arasu , h garcia-molina COL venue VAL sigmod conference COL year VAL 2003"
213,factorizing complex predicates in queries to exploit indexes,"s chaudhuri , p ganesan , s sarawagi",sigmod conference,2003,"COL title VAL factorizing complex predicates in queries to exploit indexes COL authors VAL s chaudhuri , p ganesan , s sarawagi COL venue VAL sigmod conference COL year VAL 2003"
214,mining email content for author identification forensics,"o vel , a anderson , m corney , g mohay",sigmod record,2001,"COL title VAL mining email content for author identification forensics COL authors VAL o vel , a anderson , m corney , g mohay COL venue VAL sigmod record COL year VAL 2001"
215,transactional information systems - book review,,,2001,COL title VAL transactional information systems - book review COL authors VAL  COL venue VAL  COL year VAL 2001
216,estimating compilation time of a query optimizer,"i ilyas , j rao , g lohman , d gao , e lin",sigmod conference,2003,"COL title VAL estimating compilation time of a query optimizer COL authors VAL i ilyas , j rao , g lohman , d gao , e lin COL venue VAL sigmod conference COL year VAL 2003"
217,extended wavelets for multiple measures,"a deligiannakis , n roussopoulos",sigmod conference,2003,"COL title VAL extended wavelets for multiple measures COL authors VAL a deligiannakis , n roussopoulos COL venue VAL sigmod conference COL year VAL 2003"
218,information warfare and security - book review,,,2001,COL title VAL information warfare and security - book review COL authors VAL  COL venue VAL  COL year VAL 2001
219,treasurer 's message,,,2000,COL title VAL treasurer 's message COL authors VAL  COL venue VAL  COL year VAL 2000
220,"gio wiederhold speaks out on moving into academia in mid-career , how to be an effective consultant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more",,,2001,"COL title VAL gio wiederhold speaks out on moving into academia in mid-career , how to be an effective consultant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more COL authors VAL  COL venue VAL  COL year VAL 2001"
221,chain : operator scheduling for memory minimization in data stream systems,"b babcock , s babu , m datar , r motwani",sigmod conference,2003,"COL title VAL chain : operator scheduling for memory minimization in data stream systems COL authors VAL b babcock , s babu , m datar , r motwani COL venue VAL sigmod conference COL year VAL 2003"
222,sigmod 2001 industry sessions,"g lohman , c galindo-legaria , m franklin , l seligman",sigmod record,2001,"COL title VAL sigmod 2001 industry sessions COL authors VAL g lohman , c galindo-legaria , m franklin , l seligman COL venue VAL sigmod record COL year VAL 2001"
223,capturing both types and constraints in data integration,"m benedikt , c chan , w fan , j freire , r rastogi",sigmod conference,2003,"COL title VAL capturing both types and constraints in data integration COL authors VAL m benedikt , c chan , w fan , j freire , r rastogi COL venue VAL sigmod conference COL year VAL 2003"
224,reminiscences on influential papers,,,2001,COL title VAL reminiscences on influential papers COL authors VAL  COL venue VAL  COL year VAL 2001
225,exchanging intensional xml data,"t milo , s abiteboul , b amann , o benjelloun , f ngoc",sigmod conference,2003,"COL title VAL exchanging intensional xml data COL authors VAL t milo , s abiteboul , b amann , o benjelloun , f ngoc COL venue VAL sigmod conference COL year VAL 2003"
226,the gmap : a versatile tool for physical data independence,"o tsatalos , m solomon , y ioannidis",vldb,1994,"COL title VAL the gmap : a versatile tool for physical data independence COL authors VAL o tsatalos , m solomon , y ioannidis COL venue VAL vldb COL year VAL 1994"
227,the design and performance evaluation of alternative xml storage strategies,"f tian , d dewitt , j chen , c zhang",sigmod record,2002,"COL title VAL the design and performance evaluation of alternative xml storage strategies COL authors VAL f tian , d dewitt , j chen , c zhang COL venue VAL sigmod record COL year VAL 2002"
228,guest editor 's introduction,,,2002,COL title VAL guest editor 's introduction COL authors VAL  COL venue VAL  COL year VAL 2002
229,including group-by in query optimization,"s chaudhuri , k shim",vldb,1994,"COL title VAL including group-by in query optimization COL authors VAL s chaudhuri , k shim COL venue VAL vldb COL year VAL 1994"
230,persistent threads,"f matthes , j schmidt",vldb,1994,"COL title VAL persistent threads COL authors VAL f matthes , j schmidt COL venue VAL vldb COL year VAL 1994"
231,the n-tier hub technology,"r sommer , t gulledge , d bailey",sigmod record,2002,"COL title VAL the n-tier hub technology COL authors VAL r sommer , t gulledge , d bailey COL venue VAL sigmod record COL year VAL 2002"
232,supporting global user profiles through trusted authorities,i cingil,sigmod record,2002,COL title VAL supporting global user profiles through trusted authorities COL authors VAL i cingil COL venue VAL sigmod record COL year VAL 2002
233,memory-contention responsive hash joins,"d davison , g graefe",vldb,1994,"COL title VAL memory-contention responsive hash joins COL authors VAL d davison , g graefe COL venue VAL vldb COL year VAL 1994"
234,business data management for b2b electronic commerce,"c quix , m schoop , m jeusfeld",sigmod record,2002,"COL title VAL business data management for b2b electronic commerce COL authors VAL c quix , m schoop , m jeusfeld COL venue VAL sigmod record COL year VAL 2002"
235,v-trees - a storage method for long vector data,"m mediano , m casanova , m dreux",vldb,1994,"COL title VAL v-trees - a storage method for long vector data COL authors VAL m mediano , m casanova , m dreux COL venue VAL vldb COL year VAL 1994"
236,qualified answers that reflect user needs and preferences,"t gaasterland , j lobo",vldb,1994,"COL title VAL qualified answers that reflect user needs and preferences COL authors VAL t gaasterland , j lobo COL venue VAL vldb COL year VAL 1994"
237,semantic b2b integration : issues in ontology-based applications,"z cui , d jones , p o'brien",sigmod record,2002,"COL title VAL semantic b2b integration : issues in ontology-based applications COL authors VAL z cui , d jones , p o'brien COL venue VAL sigmod record COL year VAL 2002"
238,rp * : a family of order preserving scalable distributed data structures,"w litwin , m neimat , d schneider",vldb,1994,"COL title VAL rp * : a family of order preserving scalable distributed data structures COL authors VAL w litwin , m neimat , d schneider COL venue VAL vldb COL year VAL 1994"
239,the role of b2b engines in b2b integration architectures,c bussler,sigmod record,2002,COL title VAL the role of b2b engines in b2b integration architectures COL authors VAL c bussler COL venue VAL sigmod record COL year VAL 2002
240,supply chain infrastructures : system integration and information sharing,"m ball , m ma , l raschid , z zhao",sigmod record,2002,"COL title VAL supply chain infrastructures : system integration and information sharing COL authors VAL m ball , m ma , l raschid , z zhao COL venue VAL sigmod record COL year VAL 2002"
241,on index selection schemes for nested object hierarchies,"s chawathe , m chen , p yu",vldb,1994,"COL title VAL on index selection schemes for nested object hierarchies COL authors VAL s chawathe , m chen , p yu COL venue VAL vldb COL year VAL 1994"
242,interview with avi silberschatz,,,2002,COL title VAL interview with avi silberschatz COL authors VAL  COL venue VAL  COL year VAL 2002
243,reasoning about spatial relationships in picture retrieval systems,"a sistla , c yu , r haddad",vldb,1994,"COL title VAL reasoning about spatial relationships in picture retrieval systems COL authors VAL a sistla , c yu , r haddad COL venue VAL vldb COL year VAL 1994"
244,what will be - book review,,,2002,COL title VAL what will be - book review COL authors VAL  COL venue VAL  COL year VAL 2002
245,on spatially partitioned temporal join,"h lu , b ooi , k tan",vldb,1994,"COL title VAL on spatially partitioned temporal join COL authors VAL h lu , b ooi , k tan COL venue VAL vldb COL year VAL 1994"
246,modelling and querying video data,"r hjelsvold , r midtstraum",vldb,1994,"COL title VAL modelling and querying video data COL authors VAL r hjelsvold , r midtstraum COL venue VAL vldb COL year VAL 1994"
247,too much middleware,m stonebraker,sigmod record,2002,COL title VAL too much middleware COL authors VAL m stonebraker COL venue VAL sigmod record COL year VAL 2002
248,materialization : a powerful and ubiquitous abstraction pattern,"a pirotte , e zimсnyi , d massart , t yakusheva",vldb,1994,"COL title VAL materialization : a powerful and ubiquitous abstraction pattern COL authors VAL a pirotte , e zimсnyi , d massart , t yakusheva COL venue VAL vldb COL year VAL 1994"
249,the xml typechecking problem,d suciu,sigmod record,2002,COL title VAL the xml typechecking problem COL authors VAL d suciu COL venue VAL sigmod record COL year VAL 2002
250,report on the 18th british national conference on databases ( bncod ),,,2002,COL title VAL report on the 18th british national conference on databases ( bncod ) COL authors VAL  COL venue VAL  COL year VAL 2002
251,maximizing buffer and disk utilizations for news on-demand,"r ng , j yang",vldb,1994,"COL title VAL maximizing buffer and disk utilizations for news on-demand COL authors VAL r ng , j yang COL venue VAL vldb COL year VAL 1994"
252,reminiscences on influential papers,,,2002,COL title VAL reminiscences on influential papers COL authors VAL  COL venue VAL  COL year VAL 2002
253,investigation of algebraic query optimisation techniques for database programming languages,"a poulovassilis , c small",vldb,1994,"COL title VAL investigation of algebraic query optimisation techniques for database programming languages COL authors VAL a poulovassilis , c small COL venue VAL vldb COL year VAL 1994"
254,join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , j han",vldb,1994,"COL title VAL join index hierarchies for supporting efficient navigations in object-oriented databases COL authors VAL z xie , j han COL venue VAL vldb COL year VAL 1994"
255,letter to sigmod record editor,n elderini,,2002,COL title VAL letter to sigmod record editor COL authors VAL n elderini COL venue VAL  COL year VAL 2002
256,hilbert r-tree : an improved r-tree using fractals,"i kamel , c faloutsos",vldb,1994,"COL title VAL hilbert r-tree : an improved r-tree using fractals COL authors VAL i kamel , c faloutsos COL venue VAL vldb COL year VAL 1994"
257,why i like working in academia,r snodgrass,sigmod record,2002,COL title VAL why i like working in academia COL authors VAL r snodgrass COL venue VAL sigmod record COL year VAL 2002
258,a survey of logical models for olap databases,"p vassiliadis , t sellis",sigmod record,1999,"COL title VAL a survey of logical models for olap databases COL authors VAL p vassiliadis , t sellis COL venue VAL sigmod record COL year VAL 1999"
259,qc-trees : an efficient summary structure for semantic olap,"l lakshmanan , j pei , y zhao",sigmod conference,2003,"COL title VAL qc-trees : an efficient summary structure for semantic olap COL authors VAL l lakshmanan , j pei , y zhao COL venue VAL sigmod conference COL year VAL 2003"
260,fintime - a financial time series benchmark,"k jacob , d shasha",sigmod record,1999,"COL title VAL fintime - a financial time series benchmark COL authors VAL k jacob , d shasha COL venue VAL sigmod record COL year VAL 1999"
261,spreadsheets in rdbms for olap,"a witkowski , s bellamkonda , t bozkaya , g dorman , n folkert , a gupta , l sheng , s subramanian",sigmod conference,2003,"COL title VAL spreadsheets in rdbms for olap COL authors VAL a witkowski , s bellamkonda , t bozkaya , g dorman , n folkert , a gupta , l sheng , s subramanian COL venue VAL sigmod conference COL year VAL 2003"
262,xrank : ranked keyword search over xml documents,"l guo , f shao , c botev , j shanmugasundaram",sigmod conference,2003,"COL title VAL xrank : ranked keyword search over xml documents COL authors VAL l guo , f shao , c botev , j shanmugasundaram COL venue VAL sigmod conference COL year VAL 2003"
263,diluting acid,"t kempster , c stirling , p thanisch",sigmod record,1999,"COL title VAL diluting acid COL authors VAL t kempster , c stirling , p thanisch COL venue VAL sigmod record COL year VAL 1999"
264,querying structured text in an xml database,"s al-khalifa , c yu , h jagadish",sigmod conference,2003,"COL title VAL querying structured text in an xml database COL authors VAL s al-khalifa , c yu , h jagadish COL venue VAL sigmod conference COL year VAL 2003"
265,design and management of data warehouses : report on the dmdw '99 workshop,"s gatziu , m jeusfeld , m staudt , y vassiliou",sigmod record,1999,"COL title VAL design and management of data warehouses : report on the dmdw '99 workshop COL authors VAL s gatziu , m jeusfeld , m staudt , y vassiliou COL venue VAL sigmod record COL year VAL 1999"
266,vist : a dynamic index method for querying xml data by tree structures,"h wang , s park , w fan , p yu",sigmod conference,2003,"COL title VAL vist : a dynamic index method for querying xml data by tree structures COL authors VAL h wang , s park , w fan , p yu COL venue VAL sigmod conference COL year VAL 2003"
267,editor 's notes,m franklin,sigmod record,1999,COL title VAL editor 's notes COL authors VAL m franklin COL venue VAL sigmod record COL year VAL 1999
268,rights protection for relational data,"r sion , m atallah , s prabhakar",sigmod conference,2003,"COL title VAL rights protection for relational data COL authors VAL r sion , m atallah , s prabhakar COL venue VAL sigmod conference COL year VAL 2003"
269,sql standardization : the next steps,"a eisenberg , j melton",sigmod record,2000,"COL title VAL sql standardization : the next steps COL authors VAL a eisenberg , j melton COL venue VAL sigmod record COL year VAL 2000"
270,reminiscences on influential papers,,,2000,COL title VAL reminiscences on influential papers COL authors VAL  COL venue VAL  COL year VAL 2000
271,information sharing across private databases,"r agrawal , a evfimievski , r srikant",sigmod conference,2003,"COL title VAL information sharing across private databases COL authors VAL r agrawal , a evfimievski , r srikant COL venue VAL sigmod conference COL year VAL 2003"
272,incremental maintenance of recursive views using relational calculus/sql,"g dong , j su",sigmod record,2000,"COL title VAL incremental maintenance of recursive views using relational calculus/sql COL authors VAL g dong , j su COL venue VAL sigmod record COL year VAL 2000"
273,winnowing : local algorithms for document fingerprinting,"s schleimer , d wilkerson , a aiken",sigmod conference,2003,"COL title VAL winnowing : local algorithms for document fingerprinting COL authors VAL s schleimer , d wilkerson , a aiken COL venue VAL sigmod conference COL year VAL 2003"
274,data quality and data cleaning : an overview,"t johnson , t dasu",sigmod conference,2003,"COL title VAL data quality and data cleaning : an overview COL authors VAL t johnson , t dasu COL venue VAL sigmod conference COL year VAL 2003"
275,sigmod sister societies,"s ceri , l kalinichenko , m kitsuregawa , h lu , z жzsoyoglu , r snodgrass , v vianu",sigmod record,2000,"COL title VAL sigmod sister societies COL authors VAL s ceri , l kalinichenko , m kitsuregawa , h lu , z жzsoyoglu , r snodgrass , v vianu COL venue VAL sigmod record COL year VAL 2000"
276,birn-m : a semantic mediator for solving real-world neuroscience problems,"a gupta , b ludфscher , m martone",sigmod conference,2003,"COL title VAL birn-m : a semantic mediator for solving real-world neuroscience problems COL authors VAL a gupta , b ludфscher , m martone COL venue VAL sigmod conference COL year VAL 2003"
277,a system for watermarking relational databases,"r agrawal , p haas , j kiernan",sigmod conference,2003,"COL title VAL a system for watermarking relational databases COL authors VAL r agrawal , p haas , j kiernan COL venue VAL sigmod conference COL year VAL 2003"
278,chair 's message,,,2000,COL title VAL chair 's message COL authors VAL  COL venue VAL  COL year VAL 2000
279,beyond document similarity : understanding value-based search and browsing technologies,"a paepcke , h garcia-molina , g rodrэguez-mulр , j cho",sigmod record,2000,"COL title VAL beyond document similarity : understanding value-based search and browsing technologies COL authors VAL a paepcke , h garcia-molina , g rodrэguez-mulр , j cho COL venue VAL sigmod record COL year VAL 2000"
280,aurora : a data stream management system,"d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,2003,"COL title VAL aurora : a data stream management system COL authors VAL d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik COL venue VAL sigmod conference COL year VAL 2003"
281,improving the efficiency of database-system teaching,j ullman,sigmod conference,2003,COL title VAL improving the efficiency of database-system teaching COL authors VAL j ullman COL venue VAL sigmod conference COL year VAL 2003
282,comparative analysis of five xml query languages,"a bonifati , s ceri",sigmod record,2000,"COL title VAL comparative analysis of five xml query languages COL authors VAL a bonifati , s ceri COL venue VAL sigmod record COL year VAL 2000"
283,an extensible compressor for xml data,"h liefke , d suciu",sigmod record,2000,"COL title VAL an extensible compressor for xml data COL authors VAL h liefke , d suciu COL venue VAL sigmod record COL year VAL 2000"
284,"proceedings of the 2003 acm sigmod international conference on management of data , san diego , california , usa , june 9-12 , 2003",,,2003,"COL title VAL proceedings of the 2003 acm sigmod international conference on management of data , san diego , california , usa , june 9-12 , 2003 COL authors VAL  COL venue VAL  COL year VAL 2003"
285,an optimisation scheme for coalesce/valid time selection operator sequences,c vassilakis,sigmod record,2000,COL title VAL an optimisation scheme for coalesce/valid time selection operator sequences COL authors VAL c vassilakis COL venue VAL sigmod record COL year VAL 2000
286,efficient processing of joins on set-valued attributes,n mamoulis,sigmod conference,2003,COL title VAL efficient processing of joins on set-valued attributes COL authors VAL n mamoulis COL venue VAL sigmod conference COL year VAL 2003
287,hierarchies and relative operators in the olap environment,"e pourabbas , m rafanelli",sigmod record,2000,"COL title VAL hierarchies and relative operators in the olap environment COL authors VAL e pourabbas , m rafanelli COL venue VAL sigmod record COL year VAL 2000"
288,data grid management systems,"a jagatheesan , a rajasekar",sigmod conference,2003,"COL title VAL data grid management systems COL authors VAL a jagatheesan , a rajasekar COL venue VAL sigmod conference COL year VAL 2003"
289,evaluating probabilistic queries over imprecise data,"r cheng , d kalashnikov , s prabhakar",sigmod conference,2003,"COL title VAL evaluating probabilistic queries over imprecise data COL authors VAL r cheng , d kalashnikov , s prabhakar COL venue VAL sigmod conference COL year VAL 2003"
290,evolution and change in data management - issues and directions,"j roddick , l al-jadir , l bertossi , m dumas , f estrella , h gregersen , k hornsby , j lufter , f mandreoli , t mфnnistі , e mayol , l wedemeijer",sigmod record,2000,"COL title VAL evolution and change in data management - issues and directions COL authors VAL j roddick , l al-jadir , l bertossi , m dumas , f estrella , h gregersen , k hornsby , j lufter , f mandreoli , t mфnnistі , e mayol , l wedemeijer COL venue VAL sigmod record COL year VAL 2000"
291,adaptive filters for continuous queries over distributed data streams,"c olston , j jiang , j widom",sigmod conference,2003,"COL title VAL adaptive filters for continuous queries over distributed data streams COL authors VAL c olston , j jiang , j widom COL venue VAL sigmod conference COL year VAL 2003"
292,generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl,"a labrinidis , n roussopoulos",sigmod record,2000,"COL title VAL generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl COL authors VAL a labrinidis , n roussopoulos COL venue VAL sigmod record COL year VAL 2000"
293,knowledge discovery in data warehouses,t palpanas,sigmod record,2000,COL title VAL knowledge discovery in data warehouses COL authors VAL t palpanas COL venue VAL sigmod record COL year VAL 2000
294,dynamic xml documents with distribution and replication,"s abiteboul , a bonifati , g cobena , i manolescu , t milo",sigmod conference,2003,"COL title VAL dynamic xml documents with distribution and replication COL authors VAL s abiteboul , a bonifati , g cobena , i manolescu , t milo COL venue VAL sigmod conference COL year VAL 2003"
295,editor 's notes,m franklin,sigmod record,2000,COL title VAL editor 's notes COL authors VAL m franklin COL venue VAL sigmod record COL year VAL 2000
296,dynamic sample selection for approximate query processing,"b babcock , s chaudhuri , g das",sigmod conference,2003,"COL title VAL dynamic sample selection for approximate query processing COL authors VAL b babcock , s chaudhuri , g das COL venue VAL sigmod conference COL year VAL 2003"
297,cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,"j shen , a ngu , j shepherd , d huynh , q sheng",sigmod conference,2003,"COL title VAL cmvf : a novel dimension reduction scheme for efficient indexing in a large image database COL authors VAL j shen , a ngu , j shepherd , d huynh , q sheng COL venue VAL sigmod conference COL year VAL 2003"
298,the implementation and performance of compressed databases,"t westmann , d kossmann , s helmer , g moerkotte",sigmod record,2000,"COL title VAL the implementation and performance of compressed databases COL authors VAL t westmann , d kossmann , s helmer , g moerkotte COL venue VAL sigmod record COL year VAL 2000"
299,dbcache : middle-tier database caching for highly scalable e-business architectures,"c bornhіvd , m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald",sigmod conference,2003,"COL title VAL dbcache : middle-tier database caching for highly scalable e-business architectures COL authors VAL c bornhіvd , m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald COL venue VAL sigmod conference COL year VAL 2003"
300,metadata standards for data warehousing : open information model vs. common warehouse metamodel,"t vetterli , a vaduva , m staudt",sigmod record,2000,"COL title VAL metadata standards for data warehousing : open information model vs. common warehouse metamodel COL authors VAL t vetterli , a vaduva , m staudt COL venue VAL sigmod record COL year VAL 2000"
301,a comprehensive xquery to sql translation using dynamic interval encoding,"d dehaan , d toman , m consens , m жzsu",sigmod conference,2003,"COL title VAL a comprehensive xquery to sql translation using dynamic interval encoding COL authors VAL d dehaan , d toman , m consens , m жzsu COL venue VAL sigmod conference COL year VAL 2003"
302,spatial operators,"e clementini , p felice",sigmod record,2000,"COL title VAL spatial operators COL authors VAL e clementini , p felice COL venue VAL sigmod record COL year VAL 2000"
303,reminiscences on influential papers,,,2000,COL title VAL reminiscences on influential papers COL authors VAL  COL venue VAL  COL year VAL 2000
304,gigascope : a stream database for network applications,"c cranor , t johnson , o spatscheck , v shkapenyuk",sigmod conference,2003,"COL title VAL gigascope : a stream database for network applications COL authors VAL c cranor , t johnson , o spatscheck , v shkapenyuk COL venue VAL sigmod conference COL year VAL 2003"
305,formal semantics and analysis of object queries,g bierman,sigmod conference,2003,COL title VAL formal semantics and analysis of object queries COL authors VAL g bierman COL venue VAL sigmod conference COL year VAL 2003
306,report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000,COL title VAL report on second international workshop on advanced issues of e-commerce and web-based information systems COL authors VAL  COL venue VAL  COL year VAL 2000
307,provision of market services for eco compliant electronic market places,"s arpinar , a dogac",sigmod record,2000,"COL title VAL provision of market services for eco compliant electronic market places COL authors VAL s arpinar , a dogac COL venue VAL sigmod record COL year VAL 2000"
308,hardware acceleration for spatial selections and joins,"c sun , d agrawal , a abbadi",sigmod conference,2003,"COL title VAL hardware acceleration for spatial selections and joins COL authors VAL c sun , d agrawal , a abbadi COL venue VAL sigmod conference COL year VAL 2003"
309,a characterization of the sensitivity of query optimization to storage access cost parameters,"f reiss , t kanungo",sigmod conference,2003,"COL title VAL a characterization of the sensitivity of query optimization to storage access cost parameters COL authors VAL f reiss , t kanungo COL venue VAL sigmod conference COL year VAL 2003"
310,"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 )",,,2000,"COL title VAL workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 ) COL authors VAL  COL venue VAL  COL year VAL 2000"
311,a theory of redo recovery,"d lomet , m tuttle",sigmod conference,2003,"COL title VAL a theory of redo recovery COL authors VAL d lomet , m tuttle COL venue VAL sigmod conference COL year VAL 2003"
312,report in isdo ' 00 : the caise * 00 workshop on infrastructures for dynamic business-to-business service outsourcinga,,,2000,COL title VAL report in isdo ' 00 : the caise * 00 workshop on infrastructures for dynamic business-to-business service outsourcinga COL authors VAL  COL venue VAL  COL year VAL 2000
313,sigmod digital symposium collection ( disc ) editor 's message,,,2000,COL title VAL sigmod digital symposium collection ( disc ) editor 's message COL authors VAL  COL venue VAL  COL year VAL 2000
314,cache-and-query for wide area sensor databases,"a deshpande , s nath , p gibbons , s seshan",sigmod conference,2003,"COL title VAL cache-and-query for wide area sensor databases COL authors VAL a deshpande , s nath , p gibbons , s seshan COL venue VAL sigmod conference COL year VAL 2003"
315,composing xsl transformations with xml publishing views,"c li , p bohannon , h korth , p narayan",sigmod conference,2003,"COL title VAL composing xsl transformations with xml publishing views COL authors VAL c li , p bohannon , h korth , p narayan COL venue VAL sigmod conference COL year VAL 2003"
316,sigmod ' 2000 program chair 's message,,,2000,COL title VAL sigmod ' 2000 program chair 's message COL authors VAL  COL venue VAL  COL year VAL 2000
